product_id,code,standard_label,category_lv1,category_lv2,station_scope,keywords_examples
P2_CTRL,P2_CTRL-EL-001,Open circuit: J3 / VDD_1V8,ELECTRICAL,OPEN,ICT;BST;FCT,"open, 开路, J3, VDD_1V8"
P2_CTRL,P2_CTRL-EL-002,Open circuit: TP5 / JTAG_TCK,ELECTRICAL,OPEN,ICT;BST;FCT,"open, 开路, TP5, JTAG_TCK"
P2_CTRL,P2_CTRL-EL-003,Open circuit: R152 / I2C_SDA,ELECTRICAL,OPEN,ICT;BST;FCT,"open, 开路, R152, I2C_SDA"
P2_CTRL,P2_CTRL-EL-004,Open circuit: TP5 / JTAG_TCK,ELECTRICAL,OPEN,ICT;BST;FCT,"open, 开路, TP5, JTAG_TCK"
P2_CTRL,P2_CTRL-EL-005,Open circuit: J3 / SPI_MOSI,ELECTRICAL,OPEN,ICT;BST;FCT,"open, 开路, J3, SPI_MOSI"
P2_CTRL,P2_CTRL-EL-006,Open circuit: J3 / JTAG_TCK,ELECTRICAL,OPEN,ICT;BST;FCT,"open, 开路, J3, JTAG_TCK"
P2_CTRL,P2_CTRL-EL-007,Short circuit: C110 / I2C_SDA,ELECTRICAL,SHORT,ICT;BST;FCT,"short, 短路, C110, I2C_SDA, bridge"
P2_CTRL,P2_CTRL-EL-008,Short circuit: U3 / RESET_N,ELECTRICAL,SHORT,ICT;BST;FCT,"short, 短路, U3, RESET_N, bridge"
P2_CTRL,P2_CTRL-EL-009,Short circuit: R152 / RESET_N,ELECTRICAL,SHORT,ICT;BST;FCT,"short, 短路, R152, RESET_N, bridge"
P2_CTRL,P2_CTRL-EL-010,Short circuit: C110 / VDD_1V8,ELECTRICAL,SHORT,ICT;BST;FCT,"short, 短路, C110, VDD_1V8, bridge"
P2_CTRL,P2_CTRL-EL-011,Short circuit: Y1 / I2C_SCL,ELECTRICAL,SHORT,ICT;BST;FCT,"short, 短路, Y1, I2C_SCL, bridge"
P2_CTRL,P2_CTRL-EL-012,Short circuit: R152 / VDD_1V8,ELECTRICAL,SHORT,ICT;BST;FCT,"short, 短路, R152, VDD_1V8, bridge"
P2_CTRL,P2_CTRL-SD-013,Cold solder suspected: R152,SOLDER,COLD_SOLDER,RF_CAL;HIPOT;BURNIN,"cold solder, 虚焊, 浮高, R152"
P2_CTRL,P2_CTRL-SD-014,Cold solder suspected: Y1,SOLDER,COLD_SOLDER,BURNIN;FUNC;RF_CAL,"cold solder, 虚焊, 浮高, Y1"
P2_CTRL,P2_CTRL-SD-015,Cold solder suspected: U3,SOLDER,COLD_SOLDER,ICT;FUNC;HIPOT,"cold solder, 虚焊, 浮高, U3"
P2_CTRL,P2_CTRL-SD-016,Cold solder suspected: J3,SOLDER,COLD_SOLDER,ICT;BURNIN;FUNC,"cold solder, 虚焊, 浮高, J3"
P2_CTRL,P2_CTRL-SD-017,Cold solder suspected: TP5,SOLDER,COLD_SOLDER,FCT;ICT;BST,"cold solder, 虚焊, 浮高, TP5"
P2_CTRL,P2_CTRL-SD-018,Cold solder suspected: U3,SOLDER,COLD_SOLDER,HIPOT;FUNC;ICT,"cold solder, 虚焊, 浮高, U3"
P2_CTRL,P2_CTRL-TS-019,Fixture contact unstable (pogo pin / clamp),TEST_SYSTEM,FIXTURE_CONTACT,ICT;BST;FCT,"fixture, pogo, 接触不良, 探针, reseat"
P2_CTRL,P2_CTRL-TS-020,Fixture contact unstable (pogo pin / clamp),TEST_SYSTEM,FIXTURE_CONTACT,ICT;BST;FCT,"fixture, pogo, 接触不良, 探针, reseat"
P2_CTRL,P2_CTRL-TS-021,Fixture contact unstable (pogo pin / clamp),TEST_SYSTEM,FIXTURE_CONTACT,ICT;BST;FCT,"fixture, pogo, 接触不良, 探针, reseat"
P2_CTRL,P2_CTRL-TS-022,Fixture contact unstable (pogo pin / clamp),TEST_SYSTEM,FIXTURE_CONTACT,ICT;BST;FCT,"fixture, pogo, 接触不良, 探针, reseat"
P2_CTRL,P2_CTRL-TS-023,Fixture contact unstable (pogo pin / clamp),TEST_SYSTEM,FIXTURE_CONTACT,ICT;BST;FCT,"fixture, pogo, 接触不良, 探针, reseat"
P2_CTRL,P2_CTRL-TS-024,Fixture contact unstable (pogo pin / clamp),TEST_SYSTEM,FIXTURE_CONTACT,ICT;BST;FCT,"fixture, pogo, 接触不良, 探针, reseat"
P2_CTRL,P2_CTRL-SW-025,Programming failed (flash write),FW_SW,FLASH_FAIL,FLASH;FCT,"flash fail, 烧录失败, write fail, program fail"
